0	即	即
1	晨	晨
2	書	书
3	夜	夜
4	晴	晴
5	雲	云
6	多	多
7	雨	雨
8	霧	雾
9	蒸	蒸
10	電	电
11	露	露
12	像	像
13	徵	征
14	坡	坡
15	轟	轰
16	將	将
17	物	物
18	資	资
19	從	从
20	輸	输
21	送	送
22	到	到
23	和	和
24	結	结
25	合	合
26	區	区
27	域	域
28	盟	盟
29	停	停
30	戰	战
31	在	在
32	流	流
33	浪	浪
34	中	中
35	移	移
36	動	动
37	逮	逮
38	捕	捕
39	正	正
40	的	的
41	四	四
42	五	五
43	六	六
44	一	一
45	頁	页
46	終	终
47	切	切
48	換	换
49	顯	显
50	示	示
51	內	内
52	容	容
53	派	派
54	使者	使者
55	嗎	吗
56	是	是
57	開	开
58	主	主
59	?	?
60	?	?
61	?	?
62	?	?
63	?	?
64	所	所
65	地	地
66	只	只
67	得	得
68	部	部
69	分	分
70	情	情
71	報	报
72	黃	黄
73	金	金
74	票	票
75	券	券
76	統	统
77	治	治
78	狀	状
79	態	态
80	長	长
81	期	期
82	作	作
83	謀	谋
84	劃	划
85	本	本
86	月	月
87	命	命
88	金	金
89	融	融
90	資	资
91	小	小
92	有	有
93	話	话
94	要	要
95	說	说
96	聽	听
97	能	能
98	相	相
99	信	信
100	您	您
101	我	我
102	請	请
103	向	向
104	開	开
105	心	心
106	好	好
107	消息	消息
108	把	把
109	?	?
110	?	?
111	?	?
112	華	华
113	陀	陀
114	帶	带
115	沒	没
116	找	找
117	但	但
118	另	另
119	個	个
120	醫	医
121	生	生
122	想	想
123	決	决
124	代	代
125	替	替
126	術	术
127	國	国
128	別	别
129	無	无
130	力	力
131	告	告
132	況	况
133	武	武
134	收	收
135	書	书
136	強	强
137	堅	坚
138	比	比
139	意	意
140	氣	气
141	訓	训
142	練	练
143	度	度
144	耕	耕
145	率	率
146	水	水
147	商	商
148	業	业
149	值	值
150	升	升
151	變	变
152	化	化
153	流	流
154	動	动
155	力	力
156	完	完
157	兩	两
158	隻	只
159	船	船
160	做	做
161	甚	甚
162	麼	么
163	總	总
164	數	数
165	軍	军
166	費	费
167	糧	粮
168	乘	乘
169	小	小
170	解	解
171	解	解
172	設	设
173	隊	队
174	成	成
175	那	那
176	任	任
177	誰	谁
178	元	元
179	帥	帅
180	每	每
181	人	人
182	少	少
183	弓	弓
184	強	强
185	嚴	严
186	勢	势
187	盡	尽
188	輕	轻
189	用	用
190	時	时
191	利	利
192	品	品
193	此	此
194	後	后
195	提	提
196	交	交
197	放	放
198	棄	弃
199	場	场
200	援	援
201	救	救
202	參	参
203	方	方
204	推	推
205	?	?
206	?	?
207	?	?
208	進	进
209	遺	遗
210	憾	憾
211	里	里
212	城	城
213	市	市
214	取	取
215	可	可
216	他	他
217	露	露
218	汽	汽
219	車	车
220	委	委
221	協	协
222	議	议
223	們	们
224	再	再
225	降	降
226	忠	忠
227	誠	诚
228	民	民
229	想	想
230	你	你
231	這	这
232	以	以
233	聖	圣
234	教	教
235	釋	释
236	條	条
237	路	路
238	領	领
239	共	共
240	決	决
241	定	定
242	給	给
243	助	助
244	件	件
245	釋	释
246	斬	斩
247	首	首
248	怎	怎
249	樣	样
250	表	表
251	露	露
252	接	接
253	受	受
254	拒	拒
255	絕	绝
256	建	建
257	都	都
258	勢	势
259	圖	图
260	如	如
261	何	何
262	理	理
263	對	对
264	待	待
265	要	要
266	防	防
267	控	控
268	新	新
269	止	止
270	攻	攻
271	打	打
272	按	按
273	計	计
274	勝	胜
275	真	真
276	見	见
277	手	手
278	被	被
279	識	识
280	破	破
281	壞	坏
282	磁	磁
283	碟	碟
284	機	机
285	片	片
286	?	?
287	?	?
288	錯	错
289	看	看
290	據	据
291	讀	读
292	鍵	键
293	左	左
294	鈕	钮
295	右	右
296	居	居
297	靈	灵
298	砂	砂
299	等	等
300	生	生
301	產	产
302	適	适
303	應	应
304	它	它
305	司	司
306	徽	徽
307	許	许
308	子	子
309	千	千
310	吉	吉
311	慈	慈
312	暴	暴
313	蠍	蝎
314	當	当
315	?	?
316	李	李
317	意	意
318	平	平
319	獻	献
320	帝	帝
321	文	文
322	官	官
323	野	野
324	太	太
325	守	守
326	步	步
327	騎	骑
328	難	难
329	難	难
330	難	难
331	難	难
332	索	索
333	土	土
334	著	著
335	入	入
336	滑	滑
337	鼠	鼠
338	策	策
339	略	略
340	火	火
341	失	失
342	败	败
343	烧	烧
344	吸	吸
345	烧	烧
346	吸	吸
347	烧	烧
348	已	已
349	吧	吧
350	既	既
351	然	然
352	服	服
353	盡	尽
354	早	早
355	撤	撤
356	日	日
357	功	功
358	敢	敢
359	達	达
360	背	背
361	動	动
362	冠	冠
363	冠	冠
364	衛	卫
365	過	过
366	難	难
367	道	道
368	先	先
369	願	愿
370	抗	抗
371	也	也
372	辦	办
373	法	法
374	退	退
375	敵	敌
376	叛	叛
377	變	变
378	武	武
379	術	术
380	傷	伤
381	突	突
382	幾	几
383	體	体
384	亡	亡
385	挑	挑
386	殺	杀
387	導	导
388	與	与
389	而	而
390	經	经
391	允	允
392	擅	擅
393	員	员
394	以	以
395	攻	攻
396	之	之
397	格	格
398	笑	笑
399	單	单
400	該	该
401	噢	噢
402	潛	潜
403	聯	联
404	追	追
405	損	损
406	草	草
407	耗	耗
408	低	低
409	淺	浅
410	缺	缺
411	乏	乏
412	若	若
413	知	知
414	試	试
415	乃	乃
416	招	招
417	藝	艺
418	估	估
419	次	次
420	全	全
421	愧	愧
422	憑	凭
423	拼	拼
424	悔	悔
425	零	零
426	的	的
427	人	人
428	群	群
429	遇	遇
430	記	记
431	住	住
432	就	就
433	易	易
434	讓	让
435	嗨	嗨
436	刀	刀
437	軟	软
438	嘿	嘿
439	噗	噗
440	哇	哇
441	喔	喔
442	哇	哇
443	人	人
444	匹	匹
445	夫	夫
446	骨	骨
447	挖	挖
448	隆	隆
449	井	井
450	良	良
451	尚	尚
452	弱	弱
453	家	家
454	名	名
455	络	络
456	摆	摆
457	慢	慢
458	装	装
459	设	设
460	灭	灭
461	围	围
462	困	困
463	心	心
464	搖	摇
465	小	小
466	坑	坑
467	隱	隐
468	藏	藏
469	擊	击
470	幸	幸
471	倒	倒
472	雕	雕
473	古	古
474	刻	刻
475	座	座
476	指	指
477	揮	挥
478	增	增
479	加	加
480	海	海
481	近	近
482	偷	偷
483	襲	袭
484	普	普
485	通	通
486	射	射
487	離	离
488	船	船
489	禁	禁
490	尚	尚
491	車	车
492	犬	犬
493	假	假
494	傳	传
495	齡	龄
496	?	?
497	?	?
498	?	?
499	?	?
500	?	?
501	?	?
502	?	?
503	?	?
504	?	?
505	?	?
506	?	?
507	?	?
508	?	?
509	?	?
510	?	?
511	?	?
512	裡	里
513	基	基
514	今	今
515	由	由
516	擔	担
517	甲	甲
518	歸	归
519	田	田
520	縱	纵
521	歷	历
522	?	?
523	流	流
524	族	族
525	害	害
526	于	于
527	前	前
528	天	天
529	久	久
530	病	病
531	點	点
532	恢	恢
533	復	复
534	遁	遁
535	三	三
536	苍	苍
537	碧	碧
538	天	天
539	空	空
540	淺	浅
541	德	德
542	高	高
543	望	望
544	反	反
545	舉	举
546	懊	懊
547	惱	恼
548	視	视
549	必	必
550	引	引
551	起	起
552	亂	乱
553	無	无
554	限	限
555	制	制
556	抱	抱
557	滿	满
558	叫	叫
559	秘	秘
560	玉	玉
561	靈	灵
562	軌	轨
563	祖	祖
564	寶	宝
565	訴	诉
566	千	千
567	駿	骏
568	鐵	铁
569	盔	盔
570	比	比
571	較	较
572	聞	闻
573	蹤	踪
574	效	效
575	勞	劳
576	錄	录
577	獨	独
578	立	立
579	靠	靠
580	奔	奔
581	各	各
582	遭	遭
583	沒	没
584	標	标
585	砝	砝
586	克	克
587	零	零
588	延	延
589	疾	疾
590	蝗	蝗
591	風	风
592	洪	洪
593	慶	庆
594	祝	祝
595	豐	丰
596	空	空
597	訪	访
598	孔	孔
599	明	明
600	謹	谨
601	哀	哀
602	示	示
603	哀	哀
604	至	至
605	父	父
606	仇	仇
607	策	策
608	江	江
609	東	东
610	二	二
611	張	张
612	袁	袁
613	漢	汉
614	朝	朝
615	危	危
616	日	日
617	劍	剑
618	宝	宝
619	酒	酒
620	矣	矣
621	施	施
622	善	善
623	擁	拥
624	護	护
625	皇	皇
626	湘	湘
627	陽	阳
628	薩	萨
629	聖	圣
630	臥	卧
631	龍	龙
632	徒	徒
633	食	食
634	巫	巫
635	村	村
636	奉	奉
637	借	借
638	五	五
639	私	私
640	拜	拜
641	王	王
642	隨	随
643	墅	墅
644	保	保
645	証	证
646	便	便
647	親	亲
648	山	山
649	房	房
650	雲	云
651	谷	谷
652	犬	犬
653	深	深
654	敬	敬
655	賢	贤
656	感	感
657	關	关
658	照	照
659	甘	甘
660	又	又
661	於	于
662	候	候
663	昨	昨
664	眼	眼
665	無	无
666	黃	黄
667	話	话
668	昭	昭
669	絃	弦
670	教	教
671	誨	诲
672	榮	荣
673	疏	疏
674	學	学
675	賊	贼
676	伍	伍
677	實	实
678	劈	劈
679	興	兴
680	未	未
681	正	正
682	聲	声
683	家	家
684	張	张
685	廷	廷
686	討	讨
687	伐	伐
688	朕	朕
689	頭	头
690	恨	恨
691	象	象
692	美	美
693	講	讲
694	限	限
695	己	己
696	休	休
697	蔵	蔵
698	者	者
699	的	的
700	秒	秒
701	插	插
702	志	志
703	尋	寻
704	仗	仗
705	曾	曾
706	賴	赖
707	績	绩
708	談	谈
709	判	判
710	改	改
711	身	身
712	份	份
713	繁	繁
714	改	改
715	版	版
716	登	登
717	字	字
718	候	候
719	補	补
720	四	四
721	六	六
722	七	七
723	八	八
724	九	九
725	十	十
726	其	其
727	初	初
728	級	级
729	旅	旅
730	始	始
731	遊	游
732	戲	戏
733	類	类
734	類	类
