序号,城市名,土地肥沃度代码,对应收入档次
01,襄平,01,01档
02,北平,03,03档
03,代县,04,04档
04,晋阳,04,04档
05,南皮,0A,10档
06,平原,0D,13档
07,邺,0E,14档
08,北海,0A,10档
09,濮阳,08,08档
10,陈留,0F,15档
11,洛阳,0F,15档
12,弘农,0A,10档
13,长安,08,08档
14,安定,06,06档
15,天水,09,09档
16,西凉,06,06档
17,下邳,0B,11档
18,徐州,09,09档
19,许昌,09,09档
20,谯县,0B,11档
21,汝南,09,09档
22,宛,0E,14档
23,新野,0D,13档
24,襄阳,0E,14档
25,上庸,0D,13档
26,江夏,0E,14档
27,江陵,0E,14档
28,武陵,0B,11档
29,长沙,0F,15档
30,桂阳,0D,13档
31,零陵,0C,12档
32,寿春,09,09档
33,建业,0A,10档
34,吴,0B,11档
35,会稽,09,09档
36,庐江,09,09档
37,柴桑,09,09档
38,汉中,0A,10档
39,下弁,0A,10档
40,梓潼,0A,10档
41,成都,0B,11档
42,永安,0B,11档
43,江州,0A,10档
44,建宁,09,09档
45,云南,05,05档
46,南海,02,02档
