slot	game_code
0	9551
1	9E36
2	9E33
3	96DE
4	A079
5	A1F7
6	948A
7	9885
8	AD63
9	9EC8
10	A475
11	A3A9
12	A49A
13	A6E1
14	96DA
15	ACDE
16	9D93
17	97EB
18	A3F0
19	9DB6
20	A9D2
21	9CC9
22	96AE
23	96CE
24	A14E
25	99B2
26	92A6
27	946D
28	A357
29	9CF3
30	A8DC
31	9484
32	999D
33	9BB9
34	92E2
35	9EC2
36	9D45
37	A1CB
38	9B75
39	93DE
40	97FA
41	9CD8
42	92B5
43	92B7
44	92A0
45	9A98
46	9EDB
47	9331
48	A06C
49	AECE
50	93FB
51	92F8
52	9B38
53	99A5
54	9691
55	9845
56	A259
57	A1E3
58	9D90
59	A2C3
60	92E1
61	996E
62	9565
63	9385
64	9770
65	9483
66	93B6
67	9DB4
68	9F86
69	9330
70	9DC4
71	9FDD
72	A236
73	9876
74	9669
75	93DB
76	9ED2
77	97D8
78	97EC
79	A4E7
80	9877
81	A087
82	9531
83	A9BA
84	A4A1
85	93DA
86	9368
87	96D3
88	9390
89	95D5
90	A1AF
91	AC4E
92	94B3
93	A3E2
94	9A6D
95	A638
96	AE90
97	9C85
98	99DD
99	988B
100	9DBF
101	95BB
102	A7F8
103	9473
104	A1E5
105	A9BB
106	9480
107	9695
108	9490
109	9BBB
110	9B65
111	95C3
112	A17A
113	987A
114	9DA6
115	95F3
116	95C5
117	94FD
118	93B5
119	9AB5
120	AC6C
121	9B50
122	98FD
123	A54F
124	938F
125	A086
126	9F4A
127	9D6B
128	9547
129	A0D1
130	92AF
131	9567
132	97D2
133	97BC
134	94AC
135	9B94
136	A0F4
137	9EA1
138	92C8
139	9544
140	9BB3
141	9CBA
142	A7B7
143	98F8
144	9C71
145	9E9C
146	9371
147	9D4E
148	A2C5
149	9AAA
150	9339
151	AEC7
152	9336
153	9D76
154	94E6
155	9F80
156	959A
157	96A4
158	9CE8
159	9EF2
160	9CF7
161	99C8
162	A69C
163	AAE9
164	A746
165	9A77
166	A1B5
167	ABFC
168	9FB6
169	A896
170	9AE0
171	A5A0
172	9F59
173	A1E8
174	94A8
175	9677
176	944C
177	A830
178	92F6
179	98F4
180	95E3
181	92A8
182	934D
183	92DD
184	9DAF
185	9CEA
186	9A8D
187	ADAF
188	A652
189	93ED
190	9B8C
191	9549
192	98C1
193	94B9
194	9934
195	A064
196	9437
197	9794
198	9E4F
199	9FDA
200	A06A
201	9399
202	93A9
203	95E4
204	9DF2
205	9D4C
206	9365
207	9DE3
208	A1CF
209	A9DB
210	A8D9
211	967A
212	98D1
213	93CA
214	96BC
215	93AA
216	938D
217	95D4
218	9CE1
219	92CA
220	96E6
221	96B5
222	ADBD
223	9AAE
224	9458
225	9A92
226	9756
227	A3E1
228	93E0
229	A298
230	9532
231	9F71
232	9389
233	9B5A
234	A9D8
235	A8E4
236	9E54
237	A3FA
238	A68C
239	9457
240	95ED
241	96F8
242	A155
243	954D
244	944B
245	ADCA
246	9DFC
247	9A9C
248	9941
249	A74B
250	9F37
251	A395
252	9DD8
253	96BE
254	9778
255	A150
256	98F9
257	9F88
258	A252
259	A4B6
260	9492
261	94F3
262	9EA0
263	A4D6
264	9930
265	95CC
266	9BC3
267	AB85
268	A2BA
269	936B
270	95D1
271	93D3
272	9950
273	9A6F
274	9FB8
275	9BF7
276	965A
277	9359
278	9F4D
279	ACFB
280	9C31
281	9AEA
282	9449
283	A5A1
284	A597
285	A598
286	A931
287	9376
288	A9E2
289	99DF
290	A8E2
291	AE95
292	AB90
293	93C9
294	A1D9
295	93AC
296	9358
297	AE39
298	9688
299	98CD
300	93EC
301	9EA7
302	A867
303	AA78
304	94EF
305	93B2
306	AA77
307	9F58
308	92CC
309	92DA
310	946B
311	A296
312	A5A6
313	C39F
314	A151
315	A191
316	95D6
317	A295
318	93CC
319	AD99
320	98F3
321	9362
322	96F9
323	9F8A
324	934A
325	9497
326	95E2
327	AC98
328	97E7
329	A2EC
330	9FAB
331	A2B1
332	9C5A
333	92C7
334	A182
335	92AA
336	A2EB
337	A492
338	B8BF
339	9EA8
340	9372
341	93C1
342	9DF4
343	A94E
344	9D55
345	98C3
346	9A73
347	986F
348	92D7
349	9559
350	9969
351	A0D2
352	97A3
353	A591
354	94AD
355	A4F3
356	9366
357	939D
358	A072
359	A446
360	9A42
361	94AE
362	A636
363	94BA
364	A7EB
365	A44A
366	AD61
367	A442
368	9455
369	AD68
370	95BD
371	92BD
372	ACCE
373	97CD
374	9CCC
375	A744
376	98B4
377	9CCF
378	A1C3
379	A7AC
380	A248
381	99F2
382	9FFC
383	AED4
384	92C0
385	9963
386	9E5A
387	A8D1
388	A5D7
389	94D3
390	A38F
391	92F7
392	A8DD
393	94DB
394	9568
395	94C7
396	92E5
397	9BA9
398	9C53
399	9FCB
400	A3D9
401	A8C6
402	A76D
403	AAF9
404	9CD0
405	A2B3
406	9C98
407	9C73
408	9534
409	A3AE
410	A444
411	94A0
412	9A52
413	9830
414	A3DB
415	92A4
416	9779
417	ACEA
418	94F4
419	94B8
420	9456
421	A2A3
422	A8D4
423	9951
424	9B6A
425	9FB1
426	92DE
427	A1BD
428	A39B
429	A448
430	9CB3
431	94ED
432	9FF2
433	9799
434	AEE8
435	A256
436	92AD
437	9F70
438	A6B4
439	A6B9
440	98BD
441	9570
442	A6B7
443	9668
444	9337
445	9349
446	9CEB
447	994F
448	9F99
449	92E9
450	9656
451	98A7
452	9B54
453	9B34
454	9474
455	A154
456	9786
457	A439
458	95B7
459	A6FA
460	A2E5
461	9FD7
462	9576
463	9356
464	A2B5
465	92D0
466	957A
467	ABA0
468	AC45
469	AA85
470	9747
471	9AAD
472	ADF2
473	93A6
474	94C0
475	9F95
476	9956
477	A068
478	A6C0
479	939C
480	9BBF
481	9870
482	9D31
483	AE92
484	A077
485	9F73
486	9B41
487	AC83
488	9C90
489	AD82
490	98E8
491	A8E6
492	9357
493	9CF4
494	A244
495	ADE0
496	A082
497	A8A3
498	9965
499	A3D7
500	9CE5
501	A141
502	A796
503	94A1
504	A1F9
505	A898
506	9A9B
507	92D9
508	A0F8
509	9582
510	9432
511	95CD
512	A3D2
513	9D73
514	92F3
515	93F0
516	A8E9
517	93F1
518	ABD6
519	93EF
520	ADAA
521	9771
522	94EC
523	A64C
524	9DFD
525	9B33
526	92BF
527	98A8
528	9348
529	92BB
530	9BE8
531	ABB4
532	9946
533	A035
534	A44E
535	92B4
536	96B9
537	93F7
538	9452
539	A0FA
540	9E6D
541	A6E0
542	9CEC
543	9E42
544	9346
545	AB37
546	A8DA
547	A04C
548	A19F
549	93D1
550	9355
551	9CC3
552	A239
553	9DC7
554	A397
555	9680
556	978D
557	A564
558	93B4
559	9C4E
560	93E8
561	ACCC
562	9A78
563	9C43
564	AD8B
565	A1AA
566	92C4
567	ABAB
568	AE4D
569	97C6
570	A6AC
571	9381
572	A5CB
573	AC63
574	9B87
575	9FB7
576	A9E6
577	A957
578	9430
579	A88B
580	96E3
581	9472
582	A86A
583	9633
584	A750
585	94CA
586	96EE
587	A7D7
588	974D
589	9BE7
590	A7E8
591	9A99
592	999C
593	A6E2
594	9C45
595	AC58
596	9837
597	9F54
598	934C
599	979D
600	A7F9
601	A3B5
602	988A
603	9B30
604	94DC
605	9374
606	92F1
607	A142
608	94BF
609	97A8
610	92A7
